Code,Name,Region/Country,Supergroup name
E06000031,Peterborough,"East, England",Urban Settlements
E06000033,Southend on Sea,"East, England",Urban Settlements
E06000034,Thurrock,"East, England",Urban Settlements
E07000008,Cambridge,"East, England","Business, Education and Heritage Centres "
E07000009,East Cambridgeshire,"East, England",Town and Country Living
E10000003,Cambridgeshire,"East, England",Town and Country Living
E07000010,Fenland,"East, England",Town and Country Living
E07000011,Huntingdonshire,"East, England",Town and Country Living
E07000012,South Cambridgeshire,"East, England",Affluent England  
E07000066,Basildon,"East, England",Urban Settlements
E07000067,Braintree,"East, England",Town and Country Living
E07000068,Brentwood,"East, England",Affluent England  
E07000069,Castle Point,"East, England",Town and Country Living
E07000070,Chelmsford,"East, England",Affluent England  
E07000071,Colchester,"East, England",Affluent England  
E07000072,Epping Forest,"East, England",Affluent England  
E07000073,Harlow,"East, England",Urban Settlements
E07000074,Maldon,"East, England",Town and Country Living
E07000075,Rochford,"East, England",Town and Country Living
E07000076,Tendring,"East, England",Countryside Living
E07000077,Uttlesford,"East, England",Affluent England  
E07000095,Broxbourne,"East, England",Urban Settlements
E07000096,Dacorum,"East, England",Affluent England  
E07000242,East Hertfordshire,"East, England",Affluent England  
E07000098,Hertsmere,"East, England",Affluent England  
E07000099,North Hertfordshire,"East, England",Affluent England  
E07000240,St Albans,"East, England",Affluent England  
E07000243,Stevenage,"East, England",Urban Settlements
E07000102,Three Rivers,"East, England",Affluent England  
E07000103,Watford,"East, England",Urban Settlements
E07000241,Welwyn Hatfield,"East, England","Business, Education and Heritage Centres "
E07000143,Breckland,"East, England",Countryside Living
E07000144,Broadland,"East, England",Town and Country Living
E07000145,Great Yarmouth,"East, England",Countryside Living
E07000146,King's Lynn and West Norfolk,"East, England",Countryside Living
E07000147,North Norfolk,"East, England",Countryside Living
E07000148,Norwich,"East, England","Business, Education and Heritage Centres "
E07000149,South Norfolk,"East, England",Town and Country Living
E07000200,Babergh,"East, England",Town and Country Living
E07000201,Forest Heath,"East, England",Affluent England  
E07000202,Ipswich,"East, England",Urban Settlements
E10000029,Suffolk,"East, England",Town and Country Living
E07000203,Mid Suffolk,"East, England",Town and Country Living
E07000204,St Edmundsbury,"East, England",Town and Country Living
E07000205,Suffolk Coastal,"East, England",Countryside Living
E07000206,Waveney,"East, England",Countryside Living
E09000007,Camden,"London, England",London Cosmopolitan
E09000012,Hackney,"London, England",London Cosmopolitan
E09000013,Hammersmith and Fulham,"London, England",London Cosmopolitan
E09000014,Haringey,"London, England",London Cosmopolitan
E09000019,Islington,"London, England",London Cosmopolitan
E09000020,Kensington and Chelsea,"London, England",London Cosmopolitan
E09000022,Lambeth,"London, England",London Cosmopolitan
E09000023,Lewisham,"London, England",Ethnically Diverse Metropolitan Living
E09000025,Newham,"London, England",Ethnically Diverse Metropolitan Living
E09000028,Southwark,"London, England",London Cosmopolitan
E09000030,Tower Hamlets,"London, England",London Cosmopolitan
E09000032,Wandsworth,"London, England",London Cosmopolitan
E09000033,Westminster,"London, England",London Cosmopolitan
E09000001,City of London,"London, England",London Cosmopolitan
E09000002,Barking and Dagenham,"London, England",Ethnically Diverse Metropolitan Living
E09000003,Barnet,"London, England",Ethnically Diverse Metropolitan Living
E09000004,Bexley,"London, England",Urban Settlements
E09000005,Brent,"London, England",Ethnically Diverse Metropolitan Living
E09000006,Bromley,"London, England",Affluent England  
E09000008,Croydon,"London, England",Ethnically Diverse Metropolitan Living
E09000009,Ealing,"London, England",Ethnically Diverse Metropolitan Living
E09000010,Enfield,"London, England",Ethnically Diverse Metropolitan Living
E09000011,Greenwich,"London, England",Ethnically Diverse Metropolitan Living
E09000015,Harrow,"London, England",Ethnically Diverse Metropolitan Living
E09000016,Havering,"London, England",Urban Settlements
E09000017,Hillingdon,"London, England",Ethnically Diverse Metropolitan Living
E09000018,Hounslow,"London, England",Ethnically Diverse Metropolitan Living
E09000021,Kingston upon Thames,"London, England","Business, Education and Heritage Centres "
E09000024,Merton,"London, England",Ethnically Diverse Metropolitan Living
E09000026,Redbridge,"London, England",Ethnically Diverse Metropolitan Living
E09000027,Richmond upon Thames,"London, England",Affluent England  
EHEATHROW,Heathrow Airport,"London, England",Services and Industrial Legacy   
E09000029,Sutton,"London, England",Urban Settlements
E09000031,Waltham Forest,"London, England",Ethnically Diverse Metropolitan Living
E06000036,Bracknell Forest,"South East, England",Affluent England  
E06000043,Brighton and Hove,"South East, England","Business, Education and Heritage Centres "
E10000002,Buckinghamshire,"South East, England",Countryside Living
E06000046,Isle of Wight,"South East, England",Countryside Living
E06000035,Medway,"South East, England",Urban Settlements
E06000042,Milton Keynes,"South East, England",Urban Settlements
E06000044,Portsmouth,"South East, England","Business, Education and Heritage Centres "
E06000038,Reading,"South East, England","Business, Education and Heritage Centres "
E06000039,Slough,"South East, England",Ethnically Diverse Metropolitan Living
E06000045,Southampton,"South East, England","Business, Education and Heritage Centres "
E06000037,West Berkshire,"South East, England",Affluent England  
E06000040,Windsor and Maidenhead,"South East, England",Affluent England  
E06000041,Wokingham,"South East, England",Affluent England  
E07000004,Aylesbury Vale,"South East, England",Affluent England  
E07000005,Chiltern,"South East, England",Affluent England  
E07000006,South Bucks,"South East, England",Affluent England  
E07000007,Wycombe,"South East, England",Affluent England  
E07000061,Eastbourne,"South East, England","Business, Education and Heritage Centres "
E07000062,Hastings,"South East, England",Urban Settlements
E07000063,Lewes,"South East, England",Countryside Living
E07000064,Rother,"South East, England",Countryside Living
E07000065,Wealden,"South East, England",Countryside Living
E07000084,Basingstoke and Deane,"South East, England",Affluent England  
E07000085,East Hampshire,"South East, England",Affluent England  
E10000014,Hampshire,"South East, England",Affluent England  
E07000086,Eastleigh,"South East, England",Town and Country Living
E07000087,Fareham,"South East, England",Town and Country Living
E07000088,Gosport,"South East, England",Services and Industrial Legacy   
E07000089,Hart,"South East, England",Affluent England  
E07000090,Havant,"South East, England",Services and Industrial Legacy   
E07000091,New Forest,"South East, England",Countryside Living
E07000092,Rushmoor,"South East, England",Urban Settlements
E07000093,Test Valley,"South East, England",Affluent England  
E07000094,Winchester,"South East, England",Affluent England  
E07000105,Ashford,"South East, England",Town and Country Living
E07000106,Canterbury,"South East, England","Business, Education and Heritage Centres "
E07000107,Dartford,"South East, England",Urban Settlements
E07000108,Dover,"South East, England",Countryside Living
E07000109,Gravesham,"South East, England",Urban Settlements
E07000110,Maidstone,"South East, England",Affluent England  
E07000111,Sevenoaks,"South East, England",Affluent England  
E07000112,Shepway,"South East, England",Countryside Living
E07000113,Swale,"South East, England",Town and Country Living
E07000114,Thanet,"South East, England",Countryside Living
E07000115,Tonbridge and Malling,"South East, England",Affluent England  
E07000116,Tunbridge Wells,"South East, England",Affluent England  
E07000177,Cherwell,"South East, England",Affluent England  
E07000178,Oxford,"South East, England","Business, Education and Heritage Centres "
E10000025,Oxfordshire,"South East, England",Affluent England  
E07000179,South Oxfordshire,"South East, England",Affluent England  
E07000180,Vale of White Horse,"South East, England",Affluent England  
E07000181,West Oxfordshire,"South East, England",Affluent England  
E07000207,Elmbridge,"South East, England",Affluent England  
E07000208,Epsom and Ewell,"South East, England",Affluent England  
