ONS Code,Highway Authority,Sub-Group
E10000031,Warwickshire County,D8
E06000037,West Berkshire,D8
S12000039,West Dunbartonshire,D7
S12000040,West Lothian,D7
E10000032,West Sussex County,D7
S12000013,Western Isles,E11
E09000033,Westminster London Borough,A1
E08000010,Wigan Metropolitan Borough,C5
E06000054,Wiltshire,D9
E06000040,Windsor and Maidenhead Royal Borough,C6
E08000015,Wirral Metropolitan Borough,B3
E06000041,Wokingham Borough,C6
E08000031,Wolverhampton City,B2
E10000034,Worcestershire County,D8
W06000006,Wrexham County Borough,D8
E06000014,York City,D7
EHEATHROW,Heathrow Airport,A1
