A420,TR,Trunk/Principal Road
A415,PR,Trunk/Principal Road
A416,PR,Trunk/Principal Road
A4154,PU,Trunk/Principal Road
A243,PU,Trunk/Principal Road
A420,PR,Trunk/Principal Road
M41,TM,Motorways
A565,PU,Trunk/Principal Road
A566,PU,Trunk/Principal Road
A142,PU,Trunk/Principal Road
A5076,PU,Trunk/Principal Road
A6004,PR,Trunk/Principal Road
A1174,PU,Trunk/Principal Road
A628,TR,Trunk/Principal Road
A172,TR,Trunk/Principal Road
A478,PR,Trunk/Principal Road
A814,PR,Trunk/Principal Road
A199,PU,Trunk/Principal Road
A245,PR,Trunk/Principal Road
A291,PU,Trunk/Principal Road
A628,TU,Trunk/Principal Road
A1009,PU,Trunk/Principal Road
A6014,PU,Trunk/Principal Road
A491,PR,Trunk/Principal Road
A4110,PU,Trunk/Principal Road
A4069,PR,Trunk/Principal Road
A329,PU,Trunk/Principal Road
A309,PU,Trunk/Principal Road
A247,PU,Trunk/Principal Road
A584,PU,Trunk/Principal Road
A555,PR,Trunk/Principal Road
A594,PU,Trunk/Principal Road
A135,PU,Trunk/Principal Road
A1400,PU,Trunk/Principal Road
M62,PM,Motorways
A1001,TU,Trunk/Principal Road
A1123,PR,Trunk/Principal Road
A1124,PR,Trunk/Principal Road
A1159,PU,Trunk/Principal Road
A1111,PR,Trunk/Principal Road
A6038,PU,Trunk/Principal Road
A6029,PU,Trunk/Principal Road
A4043,PR,Trunk/Principal Road
A4050,PR,Trunk/Principal Road
A75,TR,Trunk/Principal Road
A741,PU,Trunk/Principal Road
A354,PR,Trunk/Principal Road
A679,PR,Trunk/Principal Road
A6052,PU,Trunk/Principal Road
A6063,PU,Trunk/Principal Road
A6085,PR,Trunk/Principal Road
A300,PU,Trunk/Principal Road
A1201,PU,Trunk/Principal Road
A414,PU,Trunk/Principal Road
A1235,PU,Trunk/Principal Road
A130,PU,Trunk/Principal Road
A606,PR,Trunk/Principal Road
A50,PU,Trunk/Principal Road
A4077,PR,Trunk/Principal Road
A85,PU,Trunk/Principal Road
A264,PU,Trunk/Principal Road
A2042,PU,Trunk/Principal Road
A6050,PR,Trunk/Principal Road
A568,PU,Trunk/Principal Road
A596,PU,Trunk/Principal Road
A1049,PU,Trunk/Principal Road
A5058,PU,Trunk/Principal Road
M57,TM,Motorways
A6098,PU,Trunk/Principal Road
A615,PU,Trunk/Principal Road
A6086,PU,Trunk/Principal Road
A6539,PR,Trunk/Principal Road
A34,TU,Trunk/Principal Road
A458,PR,Trunk/Principal Road
A4229,PR,Trunk/Principal Road
A4093,PR,Trunk/Principal Road
A4102,PR,Trunk/Principal Road
M90,TM,Motorways
A836,PR,Trunk/Principal Road
A256,PR,Trunk/Principal Road
A41,TU,Trunk/Principal Road
A409,PU,Trunk/Principal Road
A1020,PU,Trunk/Principal Road
A1303,PU,Trunk/Principal Road
A5250,PU,Trunk/Principal Road
A19,TU,Trunk/Principal Road
A64,PR,Trunk/Principal Road
A4196,PU,Trunk/Principal Road
A907,PR,Trunk/Principal Road
A850,PR,Trunk/Principal Road
A800,PR,Trunk/Principal Road
A307,PR,Trunk/Principal Road
A206,PU,Trunk/Principal Road
A591,PR,Trunk/Principal Road
A678,PR,Trunk/Principal Road
A194M,TM,Motorways
A400,PU,Trunk/Principal Road
A5027,PU,Trunk/Principal Road
A632,PU,Trunk/Principal Road
A58,PU,Trunk/Principal Road
A163,PR,Trunk/Principal Road
A161,PR,Trunk/Principal Road
A4048,PR,Trunk/Principal Road
A5118,PR,Trunk/Principal Road
A550,TU,Trunk/Principal Road
A705,PU,Trunk/Principal Road
A273,PU,Trunk/Principal Road
A3205,PU,Trunk/Principal Road
A4208,PU,Trunk/Principal Road
A120,PR,Trunk/Principal Road
A148,PR,Trunk/Principal Road
A4280,PR,Trunk/Principal Road
A151,PR,Trunk/Principal Road
A46,PU,Trunk/Principal Road
A641,PU,Trunk/Principal Road
A1035,PR,Trunk/Principal Road
A162,PU,Trunk/Principal Road
A500,TU,Trunk/Principal Road
A470,TR,Trunk/Principal Road
A709,PR,Trunk/Principal Road
A823,TM,Trunk/Principal Road
A956,PR,Trunk/Principal Road
M25,TM,Motorways
A288,PU,Trunk/Principal Road
A530,PU,Trunk/Principal Road
A189,PR,Trunk/Principal Road
A195,PR,Trunk/Principal Road
A3113,TU,Trunk/Principal Road
A127,TU,Trunk/Principal Road
A1126,PR,Trunk/Principal Road
A405,PU,Trunk/Principal Road
A5199,PU,Trunk/Principal Road
A1237,TU,Trunk/Principal Road
A50,TU,Trunk/Principal Road
M4,TM,Motorways
A4051,PU,Trunk/Principal Road
A4161,PU,Trunk/Principal Road
A896,PR,Trunk/Principal Road
A982,PU,Trunk/Principal Road
